variable,type,label,labelset,dataset_label
v472d,haven_labelled|vctrs_vctr|double,woman had any insects,NA,NA
v472e,haven_labelled|vctrs_vctr|double,"woman had porridge, bread, rice, noodles, pasta",NA,NA
v472f,haven_labelled|vctrs_vctr|double,"woman had plantains, white potatoes, yams, manioc cassava, or other tubers",NA,NA
v472g,haven_labelled|vctrs_vctr|double,woman had eggs,NA,NA
v472h,haven_labelled|vctrs_vctr|double,"woman had any other meat (beef, pork, lamb, chicken, etc)",NA,NA
v472i,haven_labelled|vctrs_vctr|double,"woman had pumpkin, carrots, squash, sweet potatoes (yellow or orange inside)",NA,NA
v472j,haven_labelled|vctrs_vctr|double,woman had any dark green leafy vegetables,NA,NA
v472k,haven_labelled|vctrs_vctr|double,"woman had mangoes, papayas, other vitamin a fruits",NA,NA
v472l,haven_labelled|vctrs_vctr|double,woman had any other fruits,NA,NA
v472m,haven_labelled|vctrs_vctr|double,"woman had liver, heart, other organs",NA,NA
v472n,haven_labelled|vctrs_vctr|double,woman had fish or shellfish,NA,NA
v472o,haven_labelled|vctrs_vctr|double,"woman had food made from beans, peas, lentils",NA,NA
v472p,haven_labelled|vctrs_vctr|double,"woman had cheese, yogurt, other milk products",NA,NA
v472q,haven_labelled|vctrs_vctr|double,"na - woman had oil, fats, butter, products made of them",NA,NA
v472r,haven_labelled|vctrs_vctr|double,"woman had cakes, candies, pastries, sweet biscuits, chin chin, puff, etc",NA,NA
v472s,haven_labelled|vctrs_vctr|double,woman had any other food,NA,NA
v472t,haven_labelled|vctrs_vctr|double,"woman had chips, crisps, french fries, fried dough, instant noodles",NA,NA
v472u,haven_labelled|vctrs_vctr|double,woman had red palm oil,NA,NA
v472v,haven_labelled|vctrs_vctr|double,"woman had sweetened tea, coffee or herbal drinks",NA,NA
v472w,haven_labelled|vctrs_vctr|double,"woman had sweets, chocolates, ice cream, or sesame brittle",NA,NA
v472wa,haven_labelled|vctrs_vctr|double,na - woman had cs foods,NA,NA
v472wb,haven_labelled|vctrs_vctr|double,na - woman had cs foods,NA,NA
v472wc,haven_labelled|vctrs_vctr|double,na - woman had cs foods,NA,NA
v472wd,haven_labelled|vctrs_vctr|double,na - woman had cs foods,NA,NA
v472we,haven_labelled|vctrs_vctr|double,na - woman had cs foods,NA,NA
v473a,haven_labelled|vctrs_vctr|double,na - read consent statement - hiv,NA,NA
v473b,haven_labelled|vctrs_vctr|double,na - result of measurement - hiv,NA,NA
v477,haven_labelled|vctrs_vctr|double,na - number of injections in last 12 months,NA,NA
v478,haven_labelled|vctrs_vctr|double,na - number of injections administered by a health worker,NA,NA
v479,haven_labelled|vctrs_vctr|double,na - place of injection by health worker,NA,NA
v480,haven_labelled|vctrs_vctr|double,"na - syringe and needle from new, unopened package",NA,NA
v481,haven_labelled|vctrs_vctr|double,covered by health insurance,NA,NA
v481a,haven_labelled|vctrs_vctr|double,health insurance type: mutual/community organization,NA,NA
v481b,haven_labelled|vctrs_vctr|double,health insurance type: provided by employer,NA,NA
v481c,haven_labelled|vctrs_vctr|double,health insurance type: social security,NA,NA
v481d,haven_labelled|vctrs_vctr|double,health insurance type: private/commercially purchased,NA,NA
v481e,haven_labelled|vctrs_vctr|double,na - health insurance type: cs,NA,NA
v481f,haven_labelled|vctrs_vctr|double,na - health insurance type: cs,NA,NA
v481g,haven_labelled|vctrs_vctr|double,na - health insurance type: cs,NA,NA
v481h,haven_labelled|vctrs_vctr|double,na - health insurance type: cs,NA,NA
v481x,haven_labelled|vctrs_vctr|double,health insurance type: other,NA,NA
v482a,haven_labelled|vctrs_vctr|double,na - arrange care of biological children under age 18,NA,NA
v482b,haven_labelled|vctrs_vctr|double,na - primary caregiver of children under age 18,NA,NA
v482c,haven_labelled|vctrs_vctr|double,na - arrange care of non-biological children < 18,NA,NA
v483a,haven_labelled|vctrs_vctr|double,minutes to nearest healthcare facility,NA,NA
v483b,haven_labelled|vctrs_vctr|double,mode of transportation to nearest healthcare facility,NA,NA
v484a,haven_labelled|vctrs_vctr|double,breasts examined for cancer by health care provider,NA,NA
v484b,haven_labelled|vctrs_vctr|double,ever tested for cervical cancer by health care provider,NA,NA
v485a,haven_labelled|vctrs_vctr|double,number of days respondent drank alcoholic drinks in the past month,NA,NA
v485b,haven_labelled|vctrs_vctr|double,number of alcoholic drinks per day,NA,NA
v501,haven_labelled|vctrs_vctr|double,current marital status,NA,NA
v502,haven_labelled|vctrs_vctr|double,currently/formerly/never in union,NA,NA
v503,haven_labelled|vctrs_vctr|double,number of unions,NA,NA
v504,haven_labelled|vctrs_vctr|double,currently residing with husband/partner,NA,NA
v505,haven_labelled|vctrs_vctr|double,number of other wives,NA,NA
v506,haven_labelled|vctrs_vctr|double,respondent's rank among wives,NA,NA
v507,numeric,month of first cohabitation,NA,NA
v508,numeric,year of first cohabitation,NA,NA
v509,numeric,date of first cohabitation (cmc),NA,NA
v510,haven_labelled|vctrs_vctr|double,completeness of date information in v509,NA,NA
v511,numeric,age at first cohabitation,NA,NA
v507a,numeric,month of current cohabitation,NA,NA
v508a,numeric,year of current cohabitation,NA,NA
v509a,numeric,date of current cohabitation (cmc),NA,NA
v510a,haven_labelled|vctrs_vctr|double,completeness of date information in v509a,NA,NA
v511a,numeric,age at current cohabitation,NA,NA
v512,numeric,years since first cohabitation,NA,NA
v513,haven_labelled|vctrs_vctr|double,cohabitation duration (grouped),NA,NA
v525,haven_labelled|vctrs_vctr|double,age at first sex,NA,NA
v527,haven_labelled|vctrs_vctr|double,time since last sex,NA,NA
v528,haven_labelled|vctrs_vctr|double,time since last sex (in days),NA,NA
v529,haven_labelled|vctrs_vctr|double,time since last sex (in months),NA,NA
v530,haven_labelled|vctrs_vctr|double,flag for v529,NA,NA
v531,haven_labelled|vctrs_vctr|double,age at first sex (imputed),NA,NA
v532,haven_labelled|vctrs_vctr|double,flag for v531,NA,NA
v535,haven_labelled|vctrs_vctr|double,ever been married or in union,NA,NA
v536,haven_labelled|vctrs_vctr|double,recent sexual activity,NA,NA
v537,haven_labelled|vctrs_vctr|double,months of abstinence,NA,NA
v538,haven_labelled|vctrs_vctr|double,na - how previous marriage or union ended,NA,NA
v539,haven_labelled|vctrs_vctr|double,na - person who received most of late husband's property,NA,NA
v540,haven_labelled|vctrs_vctr|double,na - respondent received any of late husband's assets or valuables,NA,NA
v541,haven_labelled|vctrs_vctr|double,na - intends to wait until marriage to have sex,NA,NA
v542,haven_labelled|vctrs_vctr|double,has a marriage certificate for current marriage/union,NA,NA
v543a,haven_labelled|vctrs_vctr|double,"marriage certificate from church, mosque or other religious institution",NA,NA
v543b,haven_labelled|vctrs_vctr|double,marriage certificate from civil authority,NA,NA
v543c,haven_labelled|vctrs_vctr|double,other document from religious institution,NA,NA
v543d,haven_labelled|vctrs_vctr|double,other document from civil authority,NA,NA
v543e,haven_labelled|vctrs_vctr|double,na - marriage document: cs,NA,NA
v543f,haven_labelled|vctrs_vctr|double,na - marriage document: cs,NA,NA
v543g,haven_labelled|vctrs_vctr|double,na - marriage document: cs,NA,NA
v543x,haven_labelled|vctrs_vctr|double,other marriage document:,NA,NA
v544,haven_labelled|vctrs_vctr|double,current marriage ever registered with civil authority,NA,NA
v602,haven_labelled|vctrs_vctr|double,fertility preference,NA,NA
v603,haven_labelled|vctrs_vctr|double,preferred waiting time for birth of a/another child,NA,NA
v604,haven_labelled|vctrs_vctr|double,preferred waiting time for birth of a/another child (grouped),NA,NA
v605,haven_labelled|vctrs_vctr|double,desire for more children,NA,NA
v613,haven_labelled|vctrs_vctr|double,ideal number of children,NA,NA
v614,haven_labelled|vctrs_vctr|double,ideal number of children (grouped),NA,NA
v616,haven_labelled|vctrs_vctr|double,time for future birth,NA,NA
v621,haven_labelled|vctrs_vctr|double,husband's desire for children,NA,NA
v623,haven_labelled|vctrs_vctr|double,exposure,NA,NA
v624,haven_labelled|vctrs_vctr|double,unmet need,NA,NA
v625,haven_labelled|vctrs_vctr|double,exposure (definition 2),NA,NA
v626,haven_labelled|vctrs_vctr|double,unmet need (definition 2),NA,NA
v625a,haven_labelled|vctrs_vctr|double,exposure to need for contraception (definition 3),NA,NA
v626a,haven_labelled|vctrs_vctr|double,unmet need for contraception (definition 3),NA,NA
v627,haven_labelled|vctrs_vctr|double,ideal number of boys,NA,NA
v628,haven_labelled|vctrs_vctr|double,ideal number of girls,NA,NA
v629,haven_labelled|vctrs_vctr|double,ideal number of either sex,NA,NA
v631,haven_labelled|vctrs_vctr|double,na - problem if became pregnant,NA,NA
v632,haven_labelled|vctrs_vctr|double,decision maker for using contraception,NA,NA
v632a,haven_labelled|vctrs_vctr|double,na - decision maker for not using contraception,NA,NA
v633a,haven_labelled|vctrs_vctr|double,na - reason for not having sex: husband has sti,NA,NA
v633b,haven_labelled|vctrs_vctr|double,reason for not having sex: husband has other women,NA,NA
v633c,haven_labelled|vctrs_vctr|double,na - reason for not having sex: recent birth,NA,NA
v633d,haven_labelled|vctrs_vctr|double,"na - reason for not having sex: tired, not in mood",NA,NA
v633e,haven_labelled|vctrs_vctr|double,na - reason for not having sex: cs,NA,NA
v633f,haven_labelled|vctrs_vctr|double,na - reason for not having sex: cs,NA,NA
v633g,haven_labelled|vctrs_vctr|double,na - reason for not having sex: cs,NA,NA
v634,haven_labelled|vctrs_vctr|double,na - husband knows that respondent is using contraception,NA,NA
v635,haven_labelled|vctrs_vctr|double,respondent opinion compared to husband's on use of contraception,NA,NA
v636,haven_labelled|vctrs_vctr|double,husband or family member pressured respondent to become pregnant,NA,NA
v701,haven_labelled|vctrs_vctr|double,husband/partner's education level,NA,NA
v702,haven_labelled|vctrs_vctr|double,husband/partner's highest year of education (at level in v701),NA,NA
v704,haven_labelled|vctrs_vctr|double,husband/partner's occupation,NA,NA
v704a,haven_labelled|vctrs_vctr|double,husband/partner worked in last 7 days/12 months,NA,NA
v705,haven_labelled|vctrs_vctr|double,husband/partner's occupation (grouped),NA,NA
v714,haven_labelled|vctrs_vctr|double,respondent currently working,NA,NA
v714a,haven_labelled|vctrs_vctr|double,"respondent has a job, but currently absent",NA,NA
v715,haven_labelled|vctrs_vctr|double,husband/partner's total number of years of education,NA,NA
v716,haven_labelled|vctrs_vctr|double,respondent's occupation,NA,NA
v717,haven_labelled|vctrs_vctr|double,respondent's occupation (grouped),NA,NA
v719,haven_labelled|vctrs_vctr|double,"respondent works for family, others, self",NA,NA
v721,haven_labelled|vctrs_vctr|double,na - respondent works at home or away,NA,NA
v729,haven_labelled|vctrs_vctr|double,husband/partner's educational attainment,NA,NA
v730,haven_labelled|vctrs_vctr|double,husband/partner's age,NA,NA
v731,haven_labelled|vctrs_vctr|double,respondent worked in last 12 months,NA,NA
v732,haven_labelled|vctrs_vctr|double,respondent employed all year/seasonal,NA,NA
v739,haven_labelled|vctrs_vctr|double,person who usually decides how to spend respondent's earnings,NA,NA
v740,haven_labelled|vctrs_vctr|double,na - type of land where respondent works,NA,NA
v741,haven_labelled|vctrs_vctr|double,type of earnings from respondent's work,NA,NA
v743a,haven_labelled|vctrs_vctr|double,person who usually decides on: respondent's health care,NA,NA
v743b,haven_labelled|vctrs_vctr|double,person who usually decides on: large household purchases,NA,NA
v743c,haven_labelled|vctrs_vctr|double,na - person who usually decides on: household purchases for daily needs,NA,NA
v743d,haven_labelled|vctrs_vctr|double,person who usually decides on: visits to family or relatives,NA,NA
v743e,haven_labelled|vctrs_vctr|double,na - person who usually decides on: food to be cooked each day,NA,NA
v743f,haven_labelled|vctrs_vctr|double,person who usually decides on: what to do with money husband earns,NA,NA
v744a,haven_labelled|vctrs_vctr|double,beating justified if wife goes out without telling husband,NA,NA
v744b,haven_labelled|vctrs_vctr|double,beating justified if wife neglects the children,NA,NA
v744c,haven_labelled|vctrs_vctr|double,beating justified if wife argues with husband,NA,NA
v744d,haven_labelled|vctrs_vctr|double,beating justified if wife refuses to have sex with husband,NA,NA
v744e,haven_labelled|vctrs_vctr|double,beating justified if wife burns the food,NA,NA
v745a,haven_labelled|vctrs_vctr|double,owns a house alone or jointly,NA,NA
v745b,haven_labelled|vctrs_vctr|double,owns land alone or jointly,NA,NA
v745c,haven_labelled|vctrs_vctr|double,title deed on house own by respondent,NA,NA
v745d,haven_labelled|vctrs_vctr|double,title deed on land own by respondent,NA,NA
v746,haven_labelled|vctrs_vctr|double,respondent earns more than husband/partner,NA,NA
bidxp,numeric,index to pregnancy history,NA,NA
bord,numeric,birth order number,NA,NA
b0,haven_labelled|vctrs_vctr|double,child is twin,NA,NA
b1,numeric,month of birth,NA,NA
b2,numeric,year of birth,NA,NA
b3,numeric,date of birth (cmc),NA,NA
b4,haven_labelled|vctrs_vctr|double,sex of child,NA,NA
b5,haven_labelled|vctrs_vctr|double,child is alive,NA,NA
b6,haven_labelled|vctrs_vctr|double,age at death,NA,NA
b7,numeric,"age at death (months, imputed)",NA,NA
b8,numeric,current age of child,NA,NA
b9,haven_labelled|vctrs_vctr|double,child lives with whom,NA,NA
b10,haven_labelled|vctrs_vctr|double,completeness of information,NA,NA
b11,numeric,preceding birth interval (months),NA,NA
b12,numeric,succeeding birth interval (months),NA,NA
b13,haven_labelled|vctrs_vctr|double,flag for age at death,NA,NA
b15,haven_labelled|vctrs_vctr|double,live birth between births,NA,NA
b16,haven_labelled|vctrs_vctr|double,child's line number in household,NA,NA
b17,numeric,day of birth,NA,NA
b18,numeric,century day code of birth (cdc),NA,NA
b19,numeric,current age of child in months (months since birth for dead children),NA,NA
b20,numeric,duration of pregnancy in months,NA,NA
b21,numeric,duration of pregnancy,NA,NA
midx,haven_labelled|vctrs_vctr|double,index to birth history,NA,NA
midxp,numeric,index to pregnancy history,NA,NA
m1,haven_labelled|vctrs_vctr|double,number of tetanus injections before birth,NA,NA
m1a,haven_labelled|vctrs_vctr|double,number of tetanus injections before pregnancy,NA,NA
m1b,haven_labelled|vctrs_vctr|double,na - month of last tetanus injection before pregnancy,NA,NA
m1c,haven_labelled|vctrs_vctr|double,na - year of last tetanus injection before pregnancy,NA,NA
m1d,numeric,years ago received last tetanus injection before pregnancy,NA,NA
m1e,haven_labelled|vctrs_vctr|double,last tetanus injection before pregnancy (cmc),NA,NA
m2a,haven_labelled|vctrs_vctr|double,prenatal: doctor,NA,NA
m2b,haven_labelled|vctrs_vctr|double,prenatal: nurse/midwife,NA,NA
m2c,haven_labelled|vctrs_vctr|double,prenatal: community health extension worker,NA,NA
m2d,haven_labelled|vctrs_vctr|double,na - prenatal: cs health professional,NA,NA
m2e,haven_labelled|vctrs_vctr|double,na - prenatal: cs health professional,NA,NA
m2f,haven_labelled|vctrs_vctr|double,na - prenatal: cs health professional,NA,NA
m2g,haven_labelled|vctrs_vctr|double,prenatal: traditional birth attendant,NA,NA
m2h,haven_labelled|vctrs_vctr|double,prenatal: auxiliary midwife,NA,NA
m2i,haven_labelled|vctrs_vctr|double,prenatal: comm health influencers/promoters/field workers,NA,NA
m2j,haven_labelled|vctrs_vctr|double,na - prenatal: cs other person,NA,NA
m2k,haven_labelled|vctrs_vctr|double,prenatal: other,NA,NA
m2l,haven_labelled|vctrs_vctr|double,na - prenatal: cs other,NA,NA
m2m,haven_labelled|vctrs_vctr|double,na - prenatal: cs other,NA,NA
m2n,haven_labelled|vctrs_vctr|double,prenatal: no one,NA,NA
m3a,haven_labelled|vctrs_vctr|double,assistance: doctor,NA,NA
m3b,haven_labelled|vctrs_vctr|double,assistance: nurse/midwife,NA,NA
m3c,haven_labelled|vctrs_vctr|double,assistance: community health extension worker,NA,NA
m3d,haven_labelled|vctrs_vctr|double,na - assistance: cs health professional,NA,NA
m3e,haven_labelled|vctrs_vctr|double,na - assistance: cs health professional,NA,NA
m3f,haven_labelled|vctrs_vctr|double,na - assistance: cs health professional,NA,NA
m3g,haven_labelled|vctrs_vctr|double,assistance: traditional birth attendant,NA,NA
m3h,haven_labelled|vctrs_vctr|double,assistance: auxiliary midwife,NA,NA
m3i,haven_labelled|vctrs_vctr|double,assistance: relative/friend,NA,NA
m3j,haven_labelled|vctrs_vctr|double,assistance: comm health influencers/promoters/field workers,NA,NA
m3k,haven_labelled|vctrs_vctr|double,assistance: other,NA,NA
m3l,haven_labelled|vctrs_vctr|double,na - assistance: cs other,NA,NA
m3m,haven_labelled|vctrs_vctr|double,na - assistance: cs other,NA,NA
m3n,haven_labelled|vctrs_vctr|double,assistance: no one,NA,NA
m4,haven_labelled|vctrs_vctr|double,duration of breastfeeding,NA,NA
m5,haven_labelled|vctrs_vctr|double,months of breastfeeding,NA,NA
m6,haven_labelled|vctrs_vctr|double,duration of amenorrhea,NA,NA
m7,haven_labelled|vctrs_vctr|double,months of amenorrhea,NA,NA
m8,haven_labelled|vctrs_vctr|double,duration of abstinence,NA,NA
m9,haven_labelled|vctrs_vctr|double,months of abstinence,NA,NA
m10,haven_labelled|vctrs_vctr|double,wanted pregnancy when became pregnant,NA,NA
m11,haven_labelled|vctrs_vctr|double,desired time would have waited,NA,NA
m13,haven_labelled|vctrs_vctr|double,timing of 1st antenatal check (months),NA,NA
m13a,haven_labelled|vctrs_vctr|double,timing of 1st antenatal check (original),NA,NA
m14,haven_labelled|vctrs_vctr|double,number of antenatal visits during pregnancy,NA,NA
m15,haven_labelled|vctrs_vctr|double,place of delivery,NA,NA
m17,haven_labelled|vctrs_vctr|double,delivery by caesarean section,NA,NA
m17a,haven_labelled|vctrs_vctr|double,na - timing on decision for caesarean section,NA,NA
m18,haven_labelled|vctrs_vctr|double,size of child at birth,NA,NA
m19,haven_labelled|vctrs_vctr|double,birth weight in kilograms (3 decimals),NA,NA
m19a,haven_labelled|vctrs_vctr|double,weight at birth/recall,NA,NA
m27,haven_labelled|vctrs_vctr|double,na - flag for breastfeeding,NA,NA
m28,haven_labelled|vctrs_vctr|double,na - flag for amenorrhea,NA,NA
m29,haven_labelled|vctrs_vctr|double,na - flag for abstinence,NA,NA
m34,haven_labelled|vctrs_vctr|double,when child put to breast,NA,NA
m35,haven_labelled|vctrs_vctr|double,na - number of times breastfed during previous night,NA,NA
m36,haven_labelled|vctrs_vctr|double,na - number of times breastfed during previous day,NA,NA
m38,haven_labelled|vctrs_vctr|double,drank from bottle with nipple yesterday/last night,NA,NA
m39a,haven_labelled|vctrs_vctr|double,"did eat any solid, semi-solid or soft foods yesterday",NA,NA
m39,haven_labelled|vctrs_vctr|double,"number of times ate solid, semi-solid or soft food yesterday",NA,NA
m42a,haven_labelled|vctrs_vctr|double,na - during pregnancy: weighed,NA,NA
m42b,haven_labelled|vctrs_vctr|double,na - during pregnancy: height measured,NA,NA
m42c,haven_labelled|vctrs_vctr|double,during pregnancy: blood pressure taken,NA,NA
m42d,haven_labelled|vctrs_vctr|double,during pregnancy: urine sample taken,NA,NA
m42e,haven_labelled|vctrs_vctr|double,during pregnancy: blood sample taken,NA,NA
m42f,haven_labelled|vctrs_vctr|double,during pregnancy: listen to baby's heartbeat,NA,NA
m42g,haven_labelled|vctrs_vctr|double,during pregnancy: talk about foods to eat,NA,NA
m42h,haven_labelled|vctrs_vctr|double,during pregnancy: talk about breastfeeding,NA,NA
m42i,haven_labelled|vctrs_vctr|double,during pregnancy: ask about vaginal bleeding,NA,NA
m42j,haven_labelled|vctrs_vctr|double,na - during pregnancy: talk about when baby is due,NA,NA
m42k,haven_labelled|vctrs_vctr|double,na - during pregnancy: pay attention to baby movements,NA,NA
m42l,haven_labelled|vctrs_vctr|double,na - during pregnancy: cs,NA,NA
m42m,haven_labelled|vctrs_vctr|double,na - during pregnancy: cs,NA,NA
m42n,haven_labelled|vctrs_vctr|double,na - during pregnancy: cs,NA,NA
m43,haven_labelled|vctrs_vctr|double,na - told about pregnancy complications,NA,NA
m44,haven_labelled|vctrs_vctr|double,na - told where to go for pregnancy complications,NA,NA
m45,haven_labelled|vctrs_vctr|double,"during pregnancy, given or bought iron tablets/syrup",NA,NA
m46,haven_labelled|vctrs_vctr|double,days tablets or syrup taken,NA,NA
m47,haven_labelled|vctrs_vctr|double,"na - during pregnancy, had difficulty with daylight vision",NA,NA
m48,haven_labelled|vctrs_vctr|double,"na - during pregnancy, had difficulty with night blindness",NA,NA
m49a,haven_labelled|vctrs_vctr|double,during pregnancy took: sp/fansidar for malaria,NA,NA
m49b,haven_labelled|vctrs_vctr|double,na - during pregnancy took: chloroquine for malaria,NA,NA
m49c,haven_labelled|vctrs_vctr|double,na - during pregnancy took: cs drug for malaria,NA,NA
m49d,haven_labelled|vctrs_vctr|double,na - during pregnancy took: cs drug for malaria,NA,NA
m49e,haven_labelled|vctrs_vctr|double,na - during pregnancy took: cs drug for malaria,NA,NA
m49f,haven_labelled|vctrs_vctr|double,na - during pregnancy took: cs drug for malaria,NA,NA
m49g,haven_labelled|vctrs_vctr|double,na - during pregnancy took: cs drug for malaria,NA,NA
m49x,haven_labelled|vctrs_vctr|double,na - during pregnancy took: other drug for malaria,NA,NA
m49z,haven_labelled|vctrs_vctr|double,na - during pregnancy took: don't know,NA,NA
m49y,haven_labelled|vctrs_vctr|double,na - during pregnancy took: no drug for malaria,NA,NA
m54,haven_labelled|vctrs_vctr|double,na - received vitamin a dose in first 2 months after delivery,NA,NA
m55,haven_labelled|vctrs_vctr|double,given child anything other than breast milk,NA,NA
m57a,haven_labelled|vctrs_vctr|double,antenatal care: respondent's home,NA,NA
m57b,haven_labelled|vctrs_vctr|double,antenatal care: other home,NA,NA
m57c,haven_labelled|vctrs_vctr|double,na - antenatal care: cs home,NA,NA
m57d,haven_labelled|vctrs_vctr|double,na - antenatal care: cs home,NA,NA
m57e,haven_labelled|vctrs_vctr|double,antenatal care: teaching hospital,NA,NA
m57f,haven_labelled|vctrs_vctr|double,antenatal care: federal medical center,NA,NA
m57g,haven_labelled|vctrs_vctr|double,antenatal care: general hospital,NA,NA
m57h,haven_labelled|vctrs_vctr|double,antenatal care: primary health care center,NA,NA
m57i,haven_labelled|vctrs_vctr|double,antenatal care: primary health clinic,NA,NA
m57j,haven_labelled|vctrs_vctr|double,antenatal care: health post,NA,NA
m57k,haven_labelled|vctrs_vctr|double,antenatal care: other public sector,NA,NA
m57l,haven_labelled|vctrs_vctr|double,na - antenatal care: cs public health,NA,NA
m57m,haven_labelled|vctrs_vctr|double,antenatal care: private hospital,NA,NA
m57n,haven_labelled|vctrs_vctr|double,antenatal care: private clinic,NA,NA
m57o,haven_labelled|vctrs_vctr|double,antenatal care: pharmacy,NA,NA
m57p,haven_labelled|vctrs_vctr|double,antenatal care: patent & proprietary medicine vendors (ppmv),NA,NA
m57q,haven_labelled|vctrs_vctr|double,antenatal care: private doctor,NA,NA
m57r,haven_labelled|vctrs_vctr|double,antenatal care: mobile clinic,NA,NA
m57s,haven_labelled|vctrs_vctr|double,antenatal care: maternity center,NA,NA
m57t,haven_labelled|vctrs_vctr|double,antenatal care: other private medical sector,NA,NA
m57na,haven_labelled|vctrs_vctr|double,antenatal care: faith-based hospital,NA,NA
m57nb,haven_labelled|vctrs_vctr|double,antenatal care: faith-based clinic,NA,NA
m57nc,haven_labelled|vctrs_vctr|double,antenatal care: other ngo medical sector,NA,NA
m57nd,haven_labelled|vctrs_vctr|double,na - antenatal care: ngo medical,NA,NA
m57ne,haven_labelled|vctrs_vctr|double,na - antenatal care: ngo medical,NA,NA
m57u,haven_labelled|vctrs_vctr|double,na - antenatal care: cs other,NA,NA
m57v,haven_labelled|vctrs_vctr|double,na - antenatal care: cs other,NA,NA
m57x,haven_labelled|vctrs_vctr|double,antenatal care: other,NA,NA
m60,haven_labelled|vctrs_vctr|double,drugs for intestinal parasites during pregnancy,NA,NA
m61,haven_labelled|vctrs_vctr|double,time spent at place of delivery,NA,NA
m62,haven_labelled|vctrs_vctr|double,respondent's health checked after delivery before discharge,NA,NA
m63,haven_labelled|vctrs_vctr|double,how long after delivery respondent's health check before discharge took place,NA,NA
m64,haven_labelled|vctrs_vctr|double,who checked respondent's health before discharge,NA,NA
m66,haven_labelled|vctrs_vctr|double,respondent's health checked after discharge/delivery at home,NA,NA
m67,haven_labelled|vctrs_vctr|double,how long after delivery respondent's health check (after discharge/home delivery,NA,NA
m68,haven_labelled|vctrs_vctr|double,who checked respondent's health after discharge/delivery at home,NA,NA
m69,haven_labelled|vctrs_vctr|double,where respondent's check after discharge/delivery at home took place,NA,NA
m70,haven_labelled|vctrs_vctr|double,child's health checked after discharge/delivery at home,NA,NA
m71,haven_labelled|vctrs_vctr|double,how long after delivery child's health check (after discharge/home delivery) too,NA,NA
m72,haven_labelled|vctrs_vctr|double,who checked child's health after discharge/home delivery,NA,NA
m73,haven_labelled|vctrs_vctr|double,where child's health check after discharge/home delivery took place,NA,NA
m74,haven_labelled|vctrs_vctr|double,child's health checked before discharge,NA,NA
m75,haven_labelled|vctrs_vctr|double,how long after delivery child's health check before discharge took place,NA,NA
m76,haven_labelled|vctrs_vctr|double,who checked child's health before discharge,NA,NA
m77,haven_labelled|vctrs_vctr|double,was child put on mother's chest and bare skin after birth,NA,NA
m77a,haven_labelled|vctrs_vctr|double,time after birth baby was put on bare skin,NA,NA
m78a,haven_labelled|vctrs_vctr|double,during first 2 days health provider: examine cord,NA,NA
m78b,haven_labelled|vctrs_vctr|double,during first 2 days health provider: measure temperature,NA,NA
m78c,haven_labelled|vctrs_vctr|double,during first 2 days health provider: signs baby needs medical attentions,NA,NA
m78d,haven_labelled|vctrs_vctr|double,during first 2 days health provider: counsel on breastfeeding,NA,NA
m78e,haven_labelled|vctrs_vctr|double,during first 2 days health provider: observe breastfeeding,NA,NA
m78f,haven_labelled|vctrs_vctr|double,during first 2 days health provider: measure blood pressure,NA,NA
m78g,haven_labelled|vctrs_vctr|double,during first 2 days health provider: discuss vaginal bleeding,NA,NA
m78h,haven_labelled|vctrs_vctr|double,during first 2 days health provider: discuss family planning,NA,NA
m78i,haven_labelled|vctrs_vctr|double,na - during first 2 days health provider: tell where to get help with breastfeed,NA,NA
m78j,haven_labelled|vctrs_vctr|double,na - during first 2 days health provider: ask if have problems with urination,NA,NA
m78k,haven_labelled|vctrs_vctr|double,na - during first 2 days health provider: ask if have pain,NA,NA
m78l,haven_labelled|vctrs_vctr|double,na - during first 2 days health provider: ask if feel sad or depressed,NA,NA
m78m,haven_labelled|vctrs_vctr|double,na - during first 2 days health provider: cs,NA,NA
m78n,haven_labelled|vctrs_vctr|double,na - during first 2 days health provider: cs,NA,NA
m78o,haven_labelled|vctrs_vctr|double,na - during first 2 days health provider: cs,NA,NA
m78p,haven_labelled|vctrs_vctr|double,na - during first 2 days health provider: cs,NA,NA
m80,haven_labelled|vctrs_vctr|double,pregnancy outcome for this section,NA,NA
m81a,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: teaching hospital,NA,NA
m81b,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: federal medical center,NA,NA
m81c,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: general hospital,NA,NA
m81d,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: primary health care center,NA,NA
m81e,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: primary health clinic,NA,NA
m81f,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: health post,NA,NA
m81g,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: other public sector,NA,NA
m81h,haven_labelled|vctrs_vctr|double,na - place obtained iron tablets/syrup: cs public sector,NA,NA
m81i,haven_labelled|vctrs_vctr|double,na - place obtained iron tablets/syrup: cs public sector,NA,NA
m81j,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: private hospital,NA,NA
m81k,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: pharmacy,NA,NA
m81l,haven_labelled|vctrs_vctr|double,place obtained iron tablets/syrup: private doctor,NA,NA
